City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.3333,61.81,75,93,8.66,NZ,1638240372
Castro,-24.7911,-50.0119,62.24,89,64,3.38,BR,1638240373
Tasiilaq,65.6145,-37.6368,21.36,92,92,4.72,GL,1638240373
Tutóia,-2.7619,-42.2744,80.78,81,23,12.1,BR,1638240374
Atuona,-9.8,-139.0333,79.0,76,3,22.08,PF,1638240374
Rikitea,-23.1203,-134.9692,76.44,78,6,21.05,PF,1638240374
Lebu,-37.6167,-73.65,53.67,87,87,17.11,CL,1638240375
Buala,-8.145,159.5921,85.12,70,67,3.47,SB,1638240375
Atar,20.5169,-13.0499,62.38,30,79,9.66,MR,1638240375
Qaanaaq,77.484,-69.3632,10.38,61,100,3.53,GL,1638240376
Mataura,-46.1927,168.8643,61.48,45,93,6.98,NZ,1638240376
Port Elizabeth,-33.918,25.5701,64.09,77,0,5.75,ZA,1638240377
Barrow,71.2906,-156.7887,-18.38,76,1,10.36,US,1638240377
Miragoâne,18.4423,-73.0876,79.32,71,73,8.37,HT,1638240378
Chichimila,20.6167,-88.2167,68.14,97,22,2.77,MX,1638240378
Ushuaia,-54.8,-68.3,42.46,75,75,25.32,AR,1638240093
Nyurba,63.2842,118.3319,-9.56,98,98,2.37,RU,1638240378
Tuatapere,-46.1333,167.6833,61.83,66,85,8.08,NZ,1638240379
Vao,-22.6667,167.4833,76.91,88,8,14.65,NC,1638240220
Hobart,-42.8794,147.3294,81.01,35,20,3.0,AU,1638240379
Kapaa,22.0752,-159.319,80.58,77,90,7.0,US,1638240181
Kathmandu,27.7167,85.3167,50.22,93,20,0.0,NP,1638240126
Pevek,69.7008,170.3133,-8.63,99,69,4.09,RU,1638240380
Abeokuta,7.15,3.35,78.35,92,55,2.17,NG,1638240380
Zyryanka,65.75,150.85,-17.07,98,100,3.89,RU,1638240381
East London,-33.0153,27.9116,66.2,92,100,7.38,ZA,1638240381
Thompson,55.7435,-97.8558,23.16,80,40,14.97,CA,1638240381
Vardø,70.3705,31.1107,22.86,82,98,25.68,NO,1638240382
Clyde River,70.4692,-68.5914,-0.17,78,100,5.75,CA,1638240382
Bara,10.3744,10.7288,69.21,23,28,5.21,NG,1638240383
Upernavik,72.7868,-56.1549,21.63,93,100,3.02,GL,1638240383
Busselton,-33.65,115.3333,65.05,44,69,8.81,AU,1638240383
Chokurdakh,70.6333,147.9167,-13.74,99,100,4.03,RU,1638240384
Hong Kong,22.2855,114.1577,76.17,61,0,3.0,HK,1638240277
Anadyr,64.75,177.4833,-4.52,83,40,0.0,RU,1638240384
Flinders,-34.5833,150.8552,76.05,73,100,11.83,AU,1638240384
Port Moresby,-9.4431,147.1797,89.02,66,40,11.5,PG,1638240385
Butaritari,3.0707,172.7902,81.07,80,66,9.73,KI,1638240385
Kaitangata,-46.2817,169.8464,61.93,74,98,10.25,NZ,1638240386
Caravelas,-17.7125,-39.2481,76.05,91,96,9.1,BR,1638240386
Khatanga,71.9667,102.5,-32.78,100,92,3.65,RU,1638240386
Albany,42.6001,-73.9662,27.27,79,4,5.86,US,1638240233
Hilo,19.7297,-155.09,74.25,76,7,1.99,US,1638240110
Punta Arenas,-53.15,-70.9167,46.51,71,40,8.05,CL,1638240387
Provideniya,64.3833,-173.3,-3.64,65,0,13.42,RU,1638240387
Bambous Virieux,-20.3428,57.7575,80.22,88,20,4.61,MU,1638240388
Morondava,-20.2833,44.2833,73.78,81,1,4.23,MG,1638240388
Inhambane,-23.865,35.3833,71.71,81,6,8.77,MZ,1638240388
Pimenta Bueno,-11.6725,-61.1936,73.42,96,59,2.24,BR,1638240389
Kiunga,-6.1219,141.2906,93.24,53,74,1.52,PG,1638240389
Yellowknife,62.456,-114.3525,-18.58,83,20,5.75,CA,1638240276
Ardeşen,41.1911,40.9875,69.76,57,100,8.81,TR,1638240389
Vaini,-21.2,-175.2,84.36,58,20,11.5,TO,1638240390
Hithadhoo,-0.6,73.0833,81.73,77,58,11.36,MV,1638240390
Kavieng,-2.5744,150.7967,85.5,66,93,14.38,PG,1638240138
Port Alfred,-33.5906,26.891,66.29,90,100,11.92,ZA,1638240391
Russell,32.3502,-85.1999,44.2,64,1,0.0,US,1638240391
Arraial do Cabo,-22.9661,-42.0278,74.3,91,7,22.59,BR,1638240391
